file,model_in_file,query_id,chunk_id,score
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,0,0,0.5
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,1,0,-0.3
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,2,0,0.2
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,3,0,0.6
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,4,0,0.4
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,5,0,0.1
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,6,0,-0.2
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,7,0,0.3
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,8,0,-0.1
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,9,0,0.5
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,10,0,0.6
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,11,0,0.4
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,12,0,0.2
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,13,0,0.0
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,14,0,0.1
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,15,0,0.5
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,16,0,0.3
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,17,0,0.2
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,18,0,0.4
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,19,0,0.6
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,20,0,0.5
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,21,0,0.3
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,22,0,0.1
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,23,0,0.0
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,24,0,0.2
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,25,0,0.4
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,26,0,0.5
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,27,0,0.3
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,28,0,0.1
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,29,0,0.0
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,30,0,0.2
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,31,0,0.4
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,32,0,0.5
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,33,0,0.3
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,34,0,0.1
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,35,0,0.0
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,36,0,0.2
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,37,0,0.4
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,38,0,0.5
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,39,0,0.3
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,40,0,0.1
LLaMA3.1-8B_Baseline.json,LLaMA3.1-8B_Baseline,41,0,0.0
